Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cluster-floral-sparkle-ring,Cluster Floral Sparkle Ring,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A statement ring designed with a beautifully clustered floral top, fully embellished with tiny shimmering stones. The layered flower pattern creates a rich, dimensional shine, making it a perfect piece for festive looks, parties, or elevating your everyday style with a touch of luxury.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Intricate multi-layer floral design</p>
</li>
<li>
<p class=""p1"">Full micro-stone embellishment</p>
</li>
<li>
<p class=""p1"">Comfortable, smooth band</p>
</li>
<li>
<p class=""p1"">Eye-catching sparkle from every angle</p>
</li>
<li>
<p class=""p1"">Anti-tarnish coated</p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Rings,,Rings,TRUE,Title,Default Title,,,,,,,,,0,shopify,3,deny,manual,699,599,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/IMG_3183.jpg?v=1763192402,1,,FALSE,,,,,adult,,,,,,,,,,3,adults,,floral,,gold-plated; metal,imitation-jewelry,,,,female,,kg,,,active
cluster-floral-sparkle-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/IMG_3184.jpg?v=1763192403,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-stone-adjustable-ring,Butterfly Stone Adjustable Ring,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A charming adjustable ring designed with a butterfly made from colorful teardrop stones. Each wing features a different soft hue, creating a delicate and lively look. The center is accented with tiny crystals, giving the ring a subtle sparkle perfect for everyday elegance or special moments.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Adjustable open-ring design</p>
</li>
<li>
<p class=""p1"">Multicolor teardrop stone wings</p>
</li>
<li>
<p class=""p1"">Crystal-detailed center</p>
</li>
<li>
<p class=""p1"">Lightweight and comfortable</p>
</li>
<li>
<p class=""p1"">Anti-tarnish coated</p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Rings,,Rings,TRUE,Title,Default Title,,,,,,,,,0,shopify,2,deny,manual,599,549,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/IMG_3179.jpg?v=1763192322,1,,FALSE,,,,,,,,,,,,,,,1,,,,,metal,imitation-jewelry,,,,female,,kg,,,active
butterfly-stone-adjustable-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/IMG_3180.jpg?v=1763192322,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart-stone-ring,New Heart Stone Ring,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A stylish ring featuring a sparkling heart-shaped stone set on a smooth, polished band. The design includes a subtle beaded shank that adds texture and charm, making it perfect for both everyday wear and special occasions.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Heart-shaped stone centerpiece</p>
</li>
<li>
<p class=""p1"">Textured beaded shank</p>
</li>
<li>
<p class=""p1"">Smooth, polished band</p>
</li>
<li>
<p class=""p1"">Lightweight and comfortable</p>
</li>
<li>
<p class=""p1"">Anti-tarnish coated</p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Rings,,Rings,TRUE,Title,Default Title,,,,,,,,,0,shopify,3,deny,manual,499,599,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/IMG_3176.jpg?v=1763192039,1,,FALSE,,,200,,,,,,,,,,,,,,,,,metal,imitation-jewelry,,,,female,,kg,,,active
heart-stone-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/IMG_3178.jpg?v=1763192038,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floral-stone-adjustable-ring,Floral Stone Adjustable Ring,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A beautifully crafted adjustable ring featuring a sparkling round stone paired with an iridescent floral charm. The dual-design band includes delicate crystal accents, giving it a graceful and eye-catching look ideal for both daily wear and special occasions.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Adjustable open-ring design</p>
</li>
<li>
<p class=""p1"">Floral charm with iridescent finish</p>
</li>
<li>
<p class=""p1"">Brilliant round stone centerpiece</p>
</li>
<li>
<p class=""p1"">Crystal-accented band</p>
</li>
<li>
<p class=""p1"">Anti-tarnish coated</p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Rings,,Rings,TRUE,Title,Default Title,,,,,,,,,0,shopify,3,deny,manual,549,699,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/IMG_3165.jpg?v=1763191860,1,,FALSE,,,,,,,,,,,,,,,,,,,,metal,imitation-jewelry,,,,female,,kg,,,active
floral-stone-adjustable-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/IMG_3171.jpg?v=1763191992,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floral-stone-adjustable-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/IMG_3172.jpg?v=1763191992,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-blossom-earrings,White Blossom Earrings,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">Delicate floral stud earrings featuring soft white petals with a subtle sheen. A tiny crystal center and a leaf-shaped stone add sparkle, making them perfect for everyday elegance or special occasions.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Floral stud design</p>
</li>
<li>
<p class=""p1"">Crystal center + leaf stone detail</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; comfortable</p>
</li>
<li>
<p class=""p1"">Anti-tarnish coated</p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Earrings,,Earrings,TRUE,Title,Default Title,,,,,,,,,0,shopify,1,deny,manual,599,699,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/IMG_3218.jpg?v=1763194026,1,,FALSE,,,,,adult,,,,,,,,,,,adults,,floral,stud,resin; metal,imitation-jewelry,,,,female,,kg,,,active
white-blossom-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/IMG_3213.jpg?v=1763194026,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evil-eye-charm-bracelet,Evil Eye Charm Bracelet,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A stylish gold-tone bracelet designed with a flexible wire band and detailed charm beads. The centerpiece is a sparkling evil-eye charm paired with crystal-studded beads and a deep blue teardrop charm, creating a chic and protective accessory perfect for everyday wear.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Gold-tone wire bracelet</p>
</li>
<li>
<p class=""p1"">Evil-eye &amp; blue stone charms</p>
</li>
<li>
<p class=""p1"">Crystal-detailed beads</p>
</li>
<li>
<p class=""p1"">Smooth, comfortable fit</p>
</li>
<li>
<p class=""p1"">Anti-tarnish coated</p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Bracelets,,Bracelets,TRUE,Title,Default Title,,,,,,,,,0,shopify,2,deny,manual,899,999,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000041401.jpg?v=1763109035,1,,FALSE,,,,,adult,,,,,,,,,,,adults,beaded; charm,gold,,metal; gold-plated,imitation-jewelry,,,,female,,kg,,,active
tulip-charm-necklace,Tulip Charm Necklace,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A gold-tone necklace featuring an embossed tulip charm with a soft, organic wax-seal look. The smooth snake chain pairs beautifully with the pendant, making it ideal for everyday wear or layering.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Embossed tulip pendant</p>
</li>
<li>
<p class=""p1"">Snake chain design</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; comfortable</p>
</li>
<li>
<p class=""p1"">Anti-tarnish coated</p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,,Necklaces,FALSE,Title,Default Title,,,,,,,,,0,shopify,2,deny,manual,599,699,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000040215.jpg?v=1763108983,1,,FALSE,,,,,adult,,,,,,,,,,,adults,,floral,,gold-plated,imitation-jewelry,pendant,,,female,,kg,,,active
mini-gold-bead-necklace,Mini Gold Bead Necklace,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A simple and timeless necklace featuring a single gold-tone bead on a fine chain. Lightweight, minimal, and perfect for everyday wear. Designed to pair effortlessly with any outfit—casual, office, or layered with other necklaces.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Single bead centerpiece</p>
</li>
<li>
<p class=""p1"">Everyday minimal style</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; skin-friendly</p>
</li>
<li>
<p class=""p1""><span class=""s1"">Durable with </span><b>anti-tarnish coating</b></p>
</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,1,deny,manual,449,599,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000040213.jpg?v=1763108937,1,,FALSE,,,,,,,,,,,,,,,,,,,,metal,imitation-jewelry,,,,female,,kg,,,active
pearl-flower-necklace,Pearl Flower Necklace,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A delicate pearl-studded flower pendant paired with a fine gold-tone chain. Minimal, graceful, and perfect for adding a soft feminine touch to any look. Ideal for daily wear and gifting. Finished with an <span class=""s1""><b>anti-tarnish coating</b></span> for long-lasting shine.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Pearl flower pendant</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; elegant</p>
</li>
<li>
<p class=""p1"">Perfect for everyday styling</p>
</li>
<li>
<p class=""p1"">Skin-friendly &amp; durable</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating</b></p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,5,deny,manual,449,749,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000040211.jpg?v=1763108830,1,,FALSE,,,,,adult,,,,,,,,,,,adults,,floral,,gold-plated,imitation-jewelry,pendant,,,female,,kg,,,active
bow-charm-necklace,New Bow Charm Necklace,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A cute and elegant bow-shaped pendant paired with a beaded link chain, crafted in a rich golden tone. Lightweight, stylish, and perfect for adding a playful touch to everyday and festive outfits. Finished with an <span class=""s1""><b>anti-tarnish coating</b></span> to keep the shine long-lasting.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Golden bow pendant</p>
</li>
<li>
<p class=""p1"">Beaded link chain detailing</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; comfortable</p>
</li>
<li>
<p class=""p1"">Perfect for daily wear, parties &amp; gifting</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating</b></p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,3,deny,manual,449,699,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000033310.png?v=1763108717,1,,FALSE,,,,,,,,,,,,,,,1,,,,,metal,imitation-jewelry,,,,female,,kg,,,active
vintage-purple-floral-oval-pendant,Vintage Floral Pendant,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A beautifully crafted oval pendant featuring a soft purple base with two pearl-like floral buds and green leaf detailing. The elegant gold frame adds a classic touch, paired with a smooth snake chain for a refined finish. Designed with <span class=""s1""><b>anti-tarnish coating</b></span> for lasting shine.</p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Purple enamel base with floral pearl accents</p>
</li>
<li>
<p class=""p1"">Decorative gold oval frame</p>
</li>
<li>
<p class=""p1"">Smooth snake chain</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; comfortable</p>
</li>
<li>
<p class=""p1"">Perfect for daily wear, festive styling &amp; gifting</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating</b></p>
</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Charms & Pendants,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,1,deny,manual,599,599,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000006454.jpg?v=1763108667,1,,FALSE,,,,,adult,,,,,,,,,,,adults,,floral,,enamel; gold-plated,imitation-jewelry,,,,female,,kg,,,active
vintage-pink-rose-oval-pendant,Vintage Pink Rose Pendant,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">An elegant oval pendant featuring a soft pink base with a raised rose design, pearl detail, and gold floral frame. Paired with a smooth snake chain, this piece adds a subtle feminine charm to any look. Coated with <span class=""s1""><b>anti-tarnish</b></span> for long-lasting shine.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Pink oval pendant with 3D rose &amp; pearl accent</p>
</li>
<li>
<p class=""p1"">Gold floral frame detailing</p>
</li>
<li>
<p class=""p1"">Smooth snake chain</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; skin-friendly</p>
</li>
<li>
<p class=""p1"">Ideal for daily wear, parties &amp; gifting</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating</b></p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Charms & Pendants,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,1,deny,manual,599,599,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000006451.jpg?v=1763108609,1,,FALSE,,,,,adult,,,,,,,,,,,adults,,floral,,plastic; gold-plated; metal; resin,imitation-jewelry,,,,female,,kg,,,active
gold-puff-flower-pendant,Gold Puff Flower Pendant,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A chic puff-style flower pendant crafted in a glossy gold finish, giving it a soft and dimensional look. Paired with a beaded link chain, this piece brings a cute yet classy touch to any outfit. Coated with an <span class=""s1""><b>anti-tarnish layer</b></span> to keep the shine fresh for long use.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Puff-style 3D flower pendant</p>
</li>
<li>
<p class=""p1"">Elegant beaded link chain</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; skin-friendly</p>
</li>
<li>
<p class=""p1"">Great for daily wear, casual styling &amp; gifting</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating for long-lasting shine</b></p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Charms & Pendants,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,2,deny,manual,449,799,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000006443.jpg?v=1763108532,1,,FALSE,,,,,,,,,,,,,,,1,,,,,metal,imitation-jewelry,,,,female,,kg,,,active
pastel-rose-oval-locket,Pastel Rose Oval Locket,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A charming oval locket featuring a pastel rose motif on a soft pink enamel base. Its smooth finish and delicate detailing make it an eye-catching accessory. The locket opens to hold small memories, making it both meaningful and stylish. Comes with a sleek chain and <span class=""s1""><b>anti-tarnish coating</b></span> for long-lasting shine.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Pastel rose enamel design</p>
</li>
<li>
<p class=""p1"">Functional locket to store tiny keepsakes</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; skin-friendly</p>
</li>
<li>
<p class=""p1"">Perfect for casual looks, gifting &amp; daily wear</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating for lasting shine</b></p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Charms & Pendants,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,1,deny,manual,599,649,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000006424.jpg?v=1763108489,1,,FALSE,,,,,adult,,,,,,,,,,,adults,,floral,,enamel; gold-plated,imitation-jewelry,,,,female,,kg,,,active
pastel-charm-oval-pendant,Pastel Charm Oval Pendant,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A beautifully detailed oval pendant featuring soft pastel elements—delicate butterfly, pearl accent, floral charm, and leaf motifs. The glossy finish and textured edges give it a premium handcrafted look. Comes with a sleek chain and an <span class=""s1""><b>anti-tarnish coating</b></span> to keep the shine intact.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Pastel butterfly, flower &amp; leaf detailing</p>
</li>
<li>
<p class=""p1"">Pearl-style accent with glossy enamel work</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; skin-friendly</p>
</li>
<li>
<p class=""p1"">Ideal for casual wear, gifting &amp; daily styling</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating for long-lasting shine</b></p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Charms & Pendants,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,1,deny,manual,599,549,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000006417.jpg?v=1763108108,1,,FALSE,,,,,adult,,,,,,,,,,,adults,,floral,,enamel; gold-plated,imitation-jewelry,,,,female,,kg,,,active
cushion-cut-crystal-pendant,Cushion-Cut Crystal Pendant,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">A stunning cushion-cut crystal pendant framed with sparkling stones, designed to catch light beautifully from every angle. Suspended on a fine silver-tone chain, this piece adds an effortlessly elegant touch to any outfit. Finished with an <span class=""s1""><b>anti-tarnish coating</b></span> for long-lasting shine.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Cushion-cut central crystal</p>
</li>
<li>
<p class=""p1"">Stone-studded outer frame</p>
</li>
<li>
<p class=""p1"">Lightweight, skin-friendly design</p>
</li>
<li>
<p class=""p1"">Perfect for casual, festive &amp; gifting</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating for lasting shine</b></p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Charms & Pendants,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,1,deny,manual,499,699,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000006400.jpg?v=1763108060,1,,FALSE,,,,,,,,,,,,,,,1,,,,,metal,imitation-jewelry,,,,female,,kg,,,active
silver-heart-sparkle-pendant,Silver Heart Sparkle Pendant,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">✨ A delicate silver-tone pendant featuring a shimmering heart adorned with clear stones, paired with a tiny floral charm for an added touch of elegance. Paired with a fine chain, this piece is perfect for both daily wear and special occasions. Designed with an <span class=""s1""><b>anti-tarnish coating</b></span> to keep its shine long-lasting.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Sparkling stone-studded heart pendant</p>
</li>
<li>
<p class=""p1"">Mini floral charm detail</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; skin-friendly</p>
</li>
<li>
<p class=""p1"">Ideal for casual, festive &amp; gifting</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating for lasting shine</b></p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Charms & Pendants,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,1,deny,manual,499,599,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000006399.jpg?v=1763104699,1,,FALSE,,,,,adult,,,,,,,,,,,adults,,clear,,metal,imitation-jewelry,,,,female,,kg,,,active
bow-pendant-necklace,Sviwa Bow Pendant Necklace,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">✨ A stylish necklace featuring a beautifully crafted bow-shaped pendant made from sleek, flexible metal strands. Its unique design adds a touch of charm to any outfit, making it a standout accessory for both everyday wear and special occasions. Finished with an <span class=""s1""><b>anti-tarnish coating</b></span>, it stays shiny and fresh for long-lasting use.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Elegant bow-style pendant</p>
</li>
<li>
<p class=""p1"">Smooth yellow-tone finish</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; comfortable to wear</p>
</li>
<li>
<p class=""p1"">Perfect for casual, festive &amp; gifting</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating for long-lasting shine</b></p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,2,deny,manual,799,549,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000006286.jpg?v=1763104607,1,,FALSE,,,,,adult,,,,,,,,,,1,adults,,gold,,metal,imitation-jewelry,pendant,,,female,,kg,,,active
blue-heart-pendant-necklace,Blue Heart Pendant Necklace,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">✨ A charming necklace featuring a glossy blue heart pendant framed in a smooth yellow-tone finish. The elegant chain adds a refined touch, making it ideal for both daily wear and special occasions. Coated with <span class=""s1""><b>anti-tarnish protection</b></span>, ensuring long-lasting shine and durability.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Blue heart stone pendant</p>
</li>
<li>
<p class=""p1"">Sleek yellow-tone chain</p>
</li>
<li>
<p class=""p1"">Lightweight &amp; skin-friendly</p>
</li>
<li>
<p class=""p1"">Perfect for casual, festive, or gifting</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating for long-lasting shine</b></p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,2,deny,manual,699,699,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/3_6bdd63e4-4ea6-44f8-9ddf-08c559ef6ffd.webp?v=1763104519,1,,FALSE,,,,,adult,,,,,,,,,,1,adults,,gold,,gold-plated,imitation-jewelry,pendant,,,female,,kg,,,active
green-stone-pendant-necklace,Green Stone Pendant Necklace,"<p class=""p1""><b>Description:</b><b></b></p>
<p class=""p2"">✨ A stylish necklace featuring a glossy green stone set in an artistic, uneven yellow-finish frame. The smooth chain adds a refined touch, making it suitable for both everyday looks and special occasions. Finished with an <span class=""s1""><b>anti-tarnish coating</b></span>, this piece stays bright and beautiful for long-lasting wear.</p>
<p class=""p3""><br></p>
<p class=""p1""><b>Features:</b><b></b></p>
<ul>
<li>
<p class=""p1"">Green stone pendant in a unique frame</p>
</li>
<li>
<p class=""p1"">Smooth yellow-finish chain</p>
</li>
<li>
<p class=""p1"">Lightweight, comfortable &amp; skin-friendly</p>
</li>
<li>
<p class=""p1"">Great for daily and festive styling</p>
</li>
<li>
<p class=""p1""><b>Anti-tarnish coating for long-lasting shine</b></p>
</li>
</ul>
<p> </p>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,,Necklaces,TRUE,Title,Default Title,,,,,,,,,0,shopify,2,deny,manual,599,699,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/2_4939803d-d5f1-44d0-a0ab-753aa69f8aee.jpg?v=1763104473,1,,FALSE,,,,,,,,,,,,,,,1,,,,,metal,imitation-jewelry,,,,female,,kg,,,active
